	RepWeekDate	Antigen_Detections	PCR_Detections
1	05/08/21	70	369
2	05/15/21	111	462
3	05/22/21	123	514
4	05/29/21	142	527
5	06/05/21	171	719
6	06/12/21	183	807
7	06/19/21	221	1148
8	06/26/21	251	1396
9	07/03/21	241	1574
10	07/10/21	567	2060
11	07/17/21	675	2411
12	07/24/21	810	2908
13	07/31/21	786	3398
14	08/07/21	806	3422
15	08/14/21	751	3704
16	08/21/21	747	4018
17	08/28/21	762	4244
18	09/04/21	556	4227
19	09/11/21	713	4292
20	09/18/21	598	4527
21	09/25/21	493	4408
22	10/02/21	503	4638
23	10/09/21	516	4654
24	10/16/21	460	4006
25	10/23/21	420	4194
26	10/30/21	391	3871
27	11/06/21	329	4183
28	11/13/21	328	4174
29	11/20/21	286	4376
30	11/27/21	250	4117
31	12/04/21	285	4408
32	12/11/21	272	4481
33	12/18/21	220	4285
34	12/25/21	263	4077
35	01/01/22	226	3488
36	01/08/22	166	3372
37	01/15/22	136	1970
38	01/22/22	94	1416
39	01/29/22	64	946
40	02/05/22	60	746
41	02/12/22	51	633
42	02/19/22	62	575
43	02/26/22	62	498
44	03/05/22	54	453
45	03/12/22	35	519
46	03/19/22	40	479
47	03/26/22	48	458
48	04/02/22	51	466
49	04/09/22	56	509
50	04/16/22	69	529
51	04/23/22	65	570
52	04/30/22	78	736
53	05/07/22	88	753
54	05/14/22	128	999
55	05/21/22	167	1094
56	05/28/22	188	1223
57	06/04/22	210	1507
58	06/11/22	263	1559
59	06/18/22	249	1520
60	06/25/22	271	1450
61	07/02/22	246	1432
62	07/09/22	161	1435
63	07/16/22	139	1297
64	07/23/22	157	1474
65	07/30/22	187	1311
66	08/06/22	119	1258
67	08/13/22	140	1310
68	08/20/22	180	1312
69	08/27/22	186	1634
70	09/03/22	278	1953
71	09/10/22	271	2508
72	09/17/22	380	3148
73	09/24/22	471	4383
74	10/01/22	553	5476
75	10/08/22	609	6993
76	10/15/22	711	9012
77	10/22/22	820	11413
78	10/29/22	987	14985
79	11/05/22	1104	18421
80	11/12/22	1226	20196
81	11/19/22	1100	19157
82	11/26/22	927	15653
83	12/03/22	791	14524
84	12/10/22	645	10605
85	12/17/22	538	8534
86	12/24/22	417	5985
87	12/31/22	367	5224
88	01/07/23	246	4381
89	01/14/23	180	3227
90	01/21/23	135	2399
91	01/28/23	148	1808
92	02/04/23	152	1559
93	02/11/23	137	1278
94	02/18/23	120	1089
95	02/25/23	102	899
96	03/04/23	76	794
97	03/11/23	64	655
98	03/18/23	64	559
99	03/25/23	50	486
100	04/01/23	42	389
101	04/08/23	42	316
102	04/15/23	34	240
103	04/22/23	20	182
104	04/29/23	16	105
